,log2FoldChange,padj
LOC396365,1.783600305,0.046379057
LOC121107346,2.787419255,0.046419758
KLHL35,-3.28070509,0.046423789
LOC107054876,-1.446495643,0.046467958
LOC121106837,-1.904806874,0.046467958
TMEM108,-2.273270518,0.046467958
NRBP2,-1.360831757,0.046539057
EVC,-2.142628172,0.04660075
LOC101748659,-2.301492681,0.046769588
SCNN1D,1.51404312,0.046945215
LOC107052170,-1.254149912,0.047025723
LOC107054070,2.375565047,0.047121988
OASL,1.084921076,0.047411601
KIAA0408,-1.392580054,0.047478822
CLDN23,1.030843265,0.047564136
GGT5,-1.484577651,0.047564136
LRP1B,-2.165917852,0.047608575
LOC101749307,1.881810983,0.047815414
LOC121106646,-1.764055236,0.047815414
LOC112531622,-1.151416615,0.04800594
LIPG,1.428450405,0.048364088
PRXL2A,-1.003200911,0.048381241
TUBA4AL,1.734133337,0.048398428
LOC121110334,-2.458696182,0.048413919
EDAR,-2.749427095,0.048554085
SOST,-4.039532547,0.048727298
LOC121109394,-2.263359592,0.048914776
DRP2,-1.643625485,0.049010249
B2M,1.036442534,0.049056732
IMPG2,-1.28809682,0.049056732
FAM20C,-1.739808179,0.049150108
C1orf186,-1.198993621,0.049448097
LOC121108609,-2.868316931,0.049448097
LOC121110373,-2.608974205,0.049448097
LOC121111686,-1.170362241,0.049448097
SCUBE1,-2.094604094,0.049556285
VTCN1,-1.070620051,0.049556285
LOC107050025,-1.583540093,0.04984119
TLX2,1.076889058,0.049979419
